player_name,matches,innings,total_runs,balls_faced,batting_average,strike_rate,fours,sixes,highest_score,centuries,fifties,balls_bowled,runs_conceded,wickets,bowling_average,economy_rate,bowling_strike_rate,four_wicket_hauls,five_wicket_hauls
AB Dinda,16.0,2.0,26.0,50.0,2.6,52.0,2.0,0.0,7.0,0.0,0.0,1589.0,1987.0,82.0,24.23170731707317,7.5028319697923225,19.378048780487806,2.0,0.0
AB McDonald,9.0,2.0,123.0,103.0,24.6,119.41747572815532,9.0,4.0,33.0,0.0,0.0,188.0,259.0,14.0,18.5,8.26595744680851,13.428571428571429,1.0,0.0
AB de Villiers,170.0,4.0,5181.0,3487.0,39.853846153846156,148.58044164037855,414.0,253.0,133.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC Blizzard,7.0,2.0,120.0,91.0,17.142857142857142,131.86813186813185,21.0,2.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC Gilchrist,80.0,2.0,2069.0,1555.0,27.223684210526315,133.05466237942122,239.0,92.0,109.0,2.0,11.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
AC Thomas,4.0,2.0,20.0,19.0,10.0,105.26315789473684,1.0,1.0,12.0,0.0,0.0,327.0,394.0,16.0,24.625,7.229357798165138,20.4375,0.0,0.0
AC Voges,7.0,2.0,181.0,143.0,45.25,126.57342657342659,15.0,3.0,45.0,0.0,0.0,56.0,74.0,1.0,74.0,7.928571428571428,56.0,0.0,0.0
AD Hales,6.0,2.0,148.0,119.0,24.666666666666668,124.36974789915966,13.0,6.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,11.0,2.0,79.0,79.0,8.777777777777779,100.0,5.0,1.0,27.0,0.0,0.0,310.0,353.0,19.0,18.57894736842105,6.83225806451613,16.31578947368421,0.0,1.0
AD Mathews,41.0,2.0,724.0,599.0,23.35483870967742,120.86811352253757,44.0,29.0,65.0,0.0,1.0,807.0,1054.0,28.0,37.642857142857146,7.836431226765799,28.821428571428573,1.0,0.0
AD Nath,10.0,2.0,90.0,99.0,9.0,90.9090909090909,7.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Russell,104.0,3.0,2488.0,1515.0,28.930232558139537,164.22442244224422,171.0,209.0,88.0,0.0,11.0,1771.0,2561.0,125.0,20.488,8.676453980801806,14.168,3.0,2.0
AF Milne,6.0,2.0,23.0,31.0,5.75,74.19354838709677,0.0,1.0,15.0,0.0,0.0,217.0,313.0,9.0,34.77777777777778,8.654377880184333,24.11111111111111,0.0,0.0
AG Murtaza,3.0,2.0,10.0,14.0,10.0,71.42857142857143,1.0,0.0,5.0,0.0,0.0,269.0,304.0,12.0,25.333333333333332,6.780669144981412,22.416666666666668,0.0,0.0
AG Paunikar,5.0,2.0,49.0,61.0,9.8,80.32786885245902,9.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,90.0,3.0,2092.0,1696.0,24.904761904761905,123.34905660377358,214.0,78.0,88.0,0.0,15.0,44.0,66.0,1.0,66.0,9.0,44.0,0.0,0.0
AJ Hosein,1.0,1.0,16.0,11.0,0.0,145.45454545454547,1.0,1.0,16.0,0.0,0.0,24.0,40.0,1.0,40.0,10.0,24.0,0.0,0.0
AJ Turner,6.0,2.0,24.0,31.0,4.8,77.41935483870968,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Tye,13.0,2.0,91.0,79.0,10.11111111111111,115.18987341772151,6.0,5.0,25.0,0.0,0.0,714.0,949.0,48.0,19.770833333333332,7.974789915966387,14.875,2.0,2.0
AK Markram,42.0,2.0,995.0,787.0,30.151515151515152,126.4294790343075,73.0,35.0,68.0,0.0,5.0,123.0,170.0,2.0,85.0,8.292682926829269,61.5,0.0,0.0
AL Menaria,23.0,2.0,401.0,367.0,19.095238095238095,109.26430517711172,24.0,18.0,40.0,0.0,0.0,113.0,140.0,3.0,46.666666666666664,7.433628318584072,37.666666666666664,0.0,0.0
AM Nayar,50.0,2.0,672.0,588.0,17.68421052631579,114.28571428571428,55.0,20.0,45.0,0.0,0.0,239.0,311.0,9.0,34.55555555555556,7.8075313807531375,26.555555555555557,0.0,0.0
AM Rahane,171.0,2.0,4642.0,3858.0,30.142857142857142,120.32141005702437,479.0,103.0,105.0,2.0,30.0,6.0,5.0,1.0,5.0,5.0,6.0,0.0,0.0
AN Ahmed,6.0,2.0,36.0,27.0,36.0,133.33333333333331,4.0,1.0,18.0,0.0,0.0,362.0,467.0,15.0,31.133333333333333,7.740331491712707,24.133333333333333,0.0,0.0
AN Ghosh,2.0,2.0,7.0,8.0,3.5,87.5,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,2.0,2.0,34.0,23.0,17.0,147.82608695652172,3.0,1.0,30.0,0.0,0.0,73.0,105.0,5.0,21.0,8.63013698630137,14.6,0.0,0.0
AP Majumdar,4.0,2.0,87.0,77.0,21.75,112.98701298701299,7.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Tare,27.0,2.0,339.0,285.0,14.125,118.94736842105263,40.0,11.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR Bawne,1.0,1.0,12.0,12.0,0.0,100.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR Patel,112.0,2.0,1653.0,1318.0,21.467532467532468,125.41729893778452,107.0,79.0,66.0,0.0,3.0,3152.0,3707.0,131.0,28.297709923664122,7.056472081218273,24.061068702290076,1.0,0.0
AS Joseph,5.0,2.0,27.0,32.0,27.0,84.375,3.0,0.0,15.0,0.0,0.0,454.0,669.0,22.0,30.40909090909091,8.841409691629956,20.636363636363637,0.0,1.0
AS Rajpoot,7.0,2.0,26.0,41.0,5.2,63.41463414634146,2.0,1.0,8.0,0.0,0.0,567.0,772.0,24.0,32.166666666666664,8.16931216931217,23.625,0.0,1.0
AS Raut,16.0,2.0,194.0,172.0,21.555555555555557,112.79069767441861,13.0,7.0,36.0,0.0,0.0,30.0,44.0,0.0,0.0,8.8,0.0,0.0,0.0
AS Roy,6.0,2.0,26.0,24.0,8.666666666666666,108.33333333333333,3.0,0.0,13.0,0.0,0.0,142.0,185.0,6.0,30.833333333333332,7.816901408450704,23.666666666666668,0.0,0.0
AS Yadav,6.0,2.0,49.0,40.0,9.8,122.50000000000001,5.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT Carey,3.0,2.0,32.0,29.0,16.0,110.34482758620689,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT Rayudu,185.0,2.0,4348.0,3490.0,28.051612903225806,124.58452722063038,359.0,173.0,100.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU Rashid,2.0,2.0,22.0,17.0,11.0,129.41176470588235,2.0,1.0,18.0,0.0,0.0,60.0,91.0,2.0,45.5,9.1,30.0,0.0,0.0
AUK Pathan,7.0,2.0,39.0,26.0,7.8,150.0,5.0,2.0,14.0,0.0,0.0,41.0,57.0,0.0,0.0,8.341463414634147,0.0,0.0,0.0
Abdul Basith,1.0,1.0,1.0,1.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Samad,39.0,3.0,579.0,408.0,18.677419354838708,141.91176470588235,37.0,36.0,37.0,0.0,0.0,55.0,108.0,2.0,54.0,11.781818181818183,27.5,0.0,0.0
Abdur Razzak,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,23.0,0.0,0.0,9.857142857142856,0.0,0.0,0.0
Abhishek Sharma,61.0,2.0,1377.0,925.0,25.5,148.86486486486484,128.0,73.0,75.0,0.0,7.0,278.0,380.0,11.0,34.54545454545455,8.201438848920862,25.272727272727273,0.0,0.0
Abishek Porel,16.0,2.0,360.0,244.0,25.714285714285715,147.54098360655738,37.0,15.0,65.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akash Deep,3.0,2.0,19.0,12.0,9.5,158.33333333333331,2.0,1.0,17.0,0.0,0.0,175.0,308.0,8.0,38.5,10.559999999999999,21.875,0.0,0.0
